"ParokiID","KeuskupanID","NoParoki","NamaParoki","NamaGereja","AlamatParoki","KotaParoki","TeleponParoki","FaxParoki","WebsiteParoki","EmailParoki","PastorParoki","WilayahKeuskupan"
"000.000","000",0,"Non Paroki","Non Gereja","-","-","-","-","-","-","-",""
"001.001","001",1,"Agats","Salib Suci","Pastoran Katolik Agats 99677","Papua","(0902) 31059","","","","-",""
"001.002","001",2,"Atsy","St. Paulus","Pastoran Katolik Distrik Atsy Kab. Asmat 99777,","Agats-Papua","","","","","-",""
"001.003","001",3,"Ayam","St. Martinus De Pores","Pastoran Katolik Ayam, Distrik Akats, Kab. Asmat 99777","Agats-Papua","","","","","-",""
"001.004","001",4,"Basiem","Hati Kudus Maria","Pastoran Katolik Basiem, Distrik Fayit, Kab. Asmat 99777, ","Agats-Papua","","","","","-",""
"001.005","001",5,"Bayun","Roh Kudus","Pastoran Katolik Bayun, Distrik Kamur, Kab. Asmat 99777","Agats-Papua","","","","","-",""
"001.006","001",6,"Ewer","St. Petrus","Pastoran Katolik Ewer, Distrik Agats. Kab. Asmat 99777","Agats-Papua","","","","","-",""
"001.007","001",7,"Komor","Martir-martir Uganda","Pastoran Katolik Komor, Distrik Pos Sawa Erma Kab. Asmat 99777","Agats-Papua","","","","","-",""
"001.008","001",8,"Pirimapun","Hati Kudus","Pastoran Katolik Pirimapun, Distrik Kamur. Kab. Asmat 99777","Agats-Papua","","","","","-",""
"001.009","001",9,"Sawa-Erma","Kristus Amore","Pastoran Katolik Sawa-Erma, Kab. Asmat 99777","Agats-Papua","","","","","-",""
"001.010","001",10,"Senggo","St. Yosep","Pastoran Katolik Senggo, Distrik Cilak Mitak Kab. Mapi","Papua","","","","","-",""
"001.011","001",11,"Yamas","St. Silvia","Pastoran Katolik Yamas, Distrik Citak Mitak, Kab. Mapi","Papua","","","","","-",""
"001.012","001",12,"Yaosakor","St. Anna","Pastoran Katolik Yaosakor, Distrik Atsy, Kab. Asmat 99777","Agats-Papua","","","","","-",""
"002.001","002",1,"Ahuru","St. Yakobus","Jl. Pattimura No. 26","Ambon","(0911) 344231","(0911) 352556","","","-",""
"002.002","002",2,"Batu Gantung","Hati Kudus Yesus","Biara Emaus Jl. Siwabessy 31 ","Ambon","(0911) 353355","(0911) 312889, 335337","","msc_maluku@yahoo.co.id","-",""
"002.003","002",3,"Benteng","St. Maria Bintang Laut","Pastoran Katolik MBL Jl. Dr. Malaihollo RT. 004/05, Benteng 97117","Ambon","(0911) 344204","(0911) 355337","","msc_maluku@yahoo.co.id","-",""
"002.004","002",4,"Katedral","St. Fransiskus Xaverius","Jl. Pattimura 32 ","Ambon","(0911) 352123, 314446","(0911) 314446","","yan_album@yahoo.co.id","-",""
"002.005","002",5,"Laha","St. Ignatius","Pastoran Katolik Kompleks LANUD Pattimura, Laha ","Ambon","0911-344807","","","","-",""
"002.006","002",6,"Passo","St. Yoseph","Pastoran Katolik Passo Jl. Karel Satsuitubun Passo,","Ambon","(0911) 361132","","","","-",""
"002.007","002",7,"Poka Rumah Tiga","St. Yoseph","Pastoran katolik Poka-Rumah Tiga ","Ambon","(0911) 3301625","","","stpakambon@gmail.com","-",""
"002.008","002",8,"Tantui-Halong","Santo Yohanes Maria Vianney","Pastoran Katolik Kompleks LANAL, Halong ","Ambon","(0911) 342747","","","","-",""
"002.009","002",9,"Bemun / Aru Selatan","St. Maria Bunda Hati Kudus","Pastoran Katolik Bemun da Pastrn Katolik Dobo","Dobo, Kab. PP Aru","0917-21065","","","","-",""
"002.010","002",10,"Berdafan / Aru Utara","St. Yosafat","Pastoran Katolik Berdafan d/a Pastrn Katolik Dobo","Dobo Kab. PP Aru","0917-21065","","","","-",""
"002.011","002",11,"Dobo / P. Aru","St. Perawan Maria de Fatima","Pastoran Katolik Dobo ","Dobo Kab. PP Aru","(0917) 21065","","","","-",""
"002.012","002",12,"Elat / Kei Besar","Emmanuel","Pastoran Katolik Katlarat Elat 97661, Kei Besar","Maluku Tenggara","(0916) 23018","","","","-",""
"002.013","002",13,"Haar","St. Maria Bunda Allah","Pastoran Katolik Haar d/a Pastrn Katolik Katlarat, Elat 97661","Kei Besar, Maluku Tenggara","0916-23018","","","","-",""
"002.014","002",14,"Hollat / Kei Besar ","St. Petrus Dan Paulus","Pastoran Katolik Hollat d/a Pastoran Katolik Katlarat, Elat 97661 ","Kei Besar, Maluku Tenggara","(0916) 23018","","","","-",""
"002.015","002",15,"Uwat Bombay / Kei Besar","St. Joseph","Pastoran Katolik Bombay, Elat 97661","Kei Besar, Maluku Tenggara","(0916) 23018","","","","-",""
"002.016","002",16,"Jailolo","St. Fransiskus Xaverius","Pastoran Katolik Jailolo d/a Gereja Batu Jl Salim Fabanyo No.57","Ternate, Maluku Utara","0922-21333","","","","-",""
"002.017","002",17,"Hollat / Kei Besar ","St. Petrus Dan Paulus","Pastoran Katolik Hollat d/a Pastoran Katolik Katlarat, Elat 97661 ","Kei Besar, Maluku Tenggara","(0916) 23018","","","","-",""
"002.018","002",18,"Gelanit / Kei Kecil","St. Petrus","Pastoran Katolik Gelanit d/a Wisma Unio Projo Langgur, Jl. Jend. Sudirman, Tual ","Tual, Kei Kecil, Maluku Tenggara.","(0916) 22838","(0916) 22845","","","-",""
"002.019","002",19,"Langgur / Kei Kecil","St. Perawan Maria Yang Tak Bernoda","Pastoran Katolik Langgur, Jl. Jend. Sudirman, Tual ","Kei Kecil, Maluku Tenggara","(0916) 22547","","","","-",""
"002.020","002",20,"Larat / Pp. Tanimbar","St. Pius X.","Pastoran Katolik Larat,","Maluku Tenggara Barat","0918-31057","","","","-",""
"002.021","002",21,"Lorulun / Pp. Tanimbar","St. Petrus Dan Paulus","Pastoran Katolik  Lorulun d/a Wisma Unio Projo Saumlaki,","Maluku Tenggara Barat","0918-21054","","","","-",""
"002.022","002",22,"Masohi / P. Seram","St. Yohanes Penginjil","Pastoran Katolik Masohi, Jl Abdullah Soulisda, Masohi 97511.","Maluku Tengah","0914-21054","","","","-",""
"002.023","002",23,"Namar / Kei Kecil","St. Petrus dan Paulus","Pastoran Katolik Namar d/a Wisma Unio Projo Langgur, Jl. Jend. Sudirman, Tual, Langgur ","Kei Kecil, Maluku Tenggara","(0916) 22838","(0916) 22845","","","-",""
"002.024","002",24,"Namlea / P. Buru","St. Maria Bintang Laut","Pastoran Katolik Namlea  Jl Flamboyan SK7/29 Namlea 97571","Buru Utara Timur, Kab. Pulau Buru","0913-21155,  21146","","","","-",""
"002.025","002",25,"Ohoidertutu / Kei Kecil","Hati Kudus Yesus","Pstrn Katolik Ohoidertutu d/a Wisma Unio Projo Langgur, Jl Jend.Sudirman","Tual, Kei Kecil, Maluku Tenggara","0916-22838","0916-22845","","","-",""
"002.026","002",26,"Ohoijang","St. Yosep","Pastoran Katolik Ohoijang. Jl. Jend. Sudirman Ohoijang, Tual ","Kei Kecil, Maluku Tenggara","(0916) 22717","","","","-",""
"002.027","002",27,"Olilit Barat","Hati Kudus Yesus","Pastoran Katolik Olilit Barat d/a Wisma Unio Projo Saumlaki","Maluku Tenggara Barat","0918-21075,  21031","0918-21237","","","-",""
"002.028","002",28,"Rumat / Kei Kecil","St. Petrus dan Paulus","Pastoran Katolik Rumat d/a Wisma Unio Projo Langgur, Jl. Jend. Sudirman, Tual ","Kei Kecil, Maluku Tenggara","(0916) 22838","(0916) 22845","","","-",""
"002.029","002",29,"Saumlaki","Santo Mathias","Pastoran Katolik Saumlaki, Saumlaki 97664","Maluku Tenggara Barat","0918-21073,  21031","0918-21237","","","-",""
"002.030","002",30,"Haar","St. Maria Bunda Allah","Pastoran Katolik Haar d/a Pastrn Katolik Katlarat, Elat 97661","Kei Besar, Maluku Tenggara","0916-23018","","","","-",""
"002.031","002",31,"Ternate","St. Willibrordus","Gereja Batu, Pastoran Katolik Ternate Jl Salim Fabanyo No.57","Ternate, Maluku Utara","0921-21569","0921-23630","","","-",""
"002.032","002",32,"Tobelo","Santa Maria","Pastoran Katolik Tobelo, Jl Gura Belakang,","Tobelo, Maluku Utara","0924-21476","0924-21476","","","-",""
"002.033","002",33,"Tual (Kota Tual)","St. Fransiskus Xaverius","Pastoran Katolik Tual, Jl. Lodar El, Tual 97611","Tual","(0916) 21073","","","","-",""
"002.034","002",34,"Uwat Bombay / Kei Besar","St. Joseph","Pastoran Katolik Bombay, Elat 97661","Kei Besar, Maluku Tenggara","(0916) 23018","","","","-",""
"002.035","002",35,"Faan","St. Ludovikus","Pastrn Katolik Faan d/a Wisma Unio Projo Langgur, Jl Jend.Sudirman, Tual","Kei Kecil, Maluku Tenggara","0916-22838","0916-22845","","","-",""
"002.036","002",36,"Waisarissa","St. Maria Ratu Rosario","Pastoran Katolik Kamal Waisarissa, Kab. Seram Bag. Barat","Ambon","0913-61292,  361461","","","","-",""
"002.037","002",37,"Waur - Watuar","Hati Kudus Tuhan Yesus","Pastoran Katolik Waur Elat 97661","Kei Besar, Maluku Tenggara","(0916) 23018","","","","-",""
"002.038","002",38,"Olilit Timur","Ratu Rosario Suci","Pastoran Katolik Olilit Timur d/a Wisma Unio Projo Saumlaki","Maluku Tenggara Barat","0918-21075,  21031","0918-21237","","","-",""
"002.039","002",39,"Kao - Malifut","St. Andreas","Pastoran Katolik Kao Malifut d/a Gereja Batu Jl Salim Fabanyo No.57","Ternate, Maluku Utara","0922-21333","","","","-",""
"002.040","002",40,"Sanana","Mater Dei","Pastoran Katolik Sanana d/a Gereja Batu Pastrn Katolik Ternate Jl Salim Fabanyo No.57","Ternate, Maluku Utara","0922-21333","","","","-",""
"002.041","002",41,"Dobo / Kepulauan Aru","Santo Yosep Dobo","Dobo","Dobo","","","","","-",""
"002.079","002",79,"Waisarissa","St. Maria Ratu Rosario","Pastoran Katolik Kamal Waisarissa, Kab. Seram Bag. Barat","Ambon","0913-61292,  361461","","","","-",""
"003.001","003",1,"Alas","Salib Suci","Pastoran Katolik Alas, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.002","003",2,"Katedral","St. Maria Imakulata","Pastoran Katolik Atambua, Atambua 85702","Timor-NTT","0389-21046,  217721","","","","-",""
"003.003","003",3,"Atapupu","St. Maria Stella Maris","Pastoran Katolik Atapupu, Atambua 85702,","Timor-NTT","","","","","-",""
"003.004","003",4,"Besikama","St. Yohanes Pemandi","Pastoran Katolik Besikama, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.005","003",5,"Betun","St. Maria Fatima","Pastoran Katolik Betun, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.006","003",6,"Bijaepasu","St. Nikolaus","Pastoran Katolik Bijaepasu, Pos Kefamenanu 85611","Timor-NTT","","","","","-",""
"003.007","003",7,"Biudukfoho","St. Mikhael","Pastoran Katolik Biudukfoho, Pos Atambua 85702,","Timor-NTT","","","","","-",""
"003.008","003",8,"Bolan","St. Simon Petrus","Pastoran Katolik Bolan, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.009","003",9,"Eban","St. Maria Diangkat ke Surga","Pastoran Katolik Eban Pos Kefamenanu 85611","Timor-NTT","","","","","-",""
"003.010","003",10,"Fulur","St. Maria Ratu Damai","Pastoran Katolik Fulur, Atambua 85702","Timor-NTT","","","","","-",""
"003.011","003",11,"Halilulik","St. Odulfus","","Atambua","","","","","-",""
"003.012","003",12,"Haumeni","Kristus Raja","Pastoran Katolik Haumeni, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.013","003",13,"Kada","St. Mikael","Pastoran Katolik Kada, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.014","003",14,"Kefamenanu","St. Theresia","Pastoran Katolik Santa Theresia, Kefamenanu 85611","TTU-Timor-NTT","0388-31053","","","","-",""
"003.015","003",15,"Kiupukan","St. Maria Penyelenggara Segala Rahmat","Pastoran Katolik Kiupukan, Pos Kefamenanu 85611","TTU-Timor-NTT","0868-12111968","","","","-",""
"003.016","003",16,"Kotafoun","St. Sesilia","Pastoran Katolik Kotafoun, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.017","003",17,"Lahurus","St. Petrus","Pastoran Katolik Lahurus, Atambua 85702","Timor-NTT","","","","","-",""
"003.018","003",18,"Lurasik","St. Petrus dan  Paulus","Pastoran Katolik Lurasik, Atambua 85702","Timor-NTT","","","","","-",""
"003.019","003",19,"Mamsena","St. Fransiskus Asisi","Pastoran Katolik Mamsena, Pos Kefamenanu 85611,","TTU-Timor-NTT","","","","","-",""
"003.020","003",20,"Manamas","St. Josef","Pastoran Katolik Manamas, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.021","003",21,"Manufui","St. Petrus Kanisius","Pastoran Katolik Manufui, Pos Kefamenanu 85611,","TTU-Timor-NTT","","","","","-",""
"003.022","003",22,"Maubesi","St. Yohanes Maria Vianey","Pastoran Katolik Maubesi, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.023","003",23,"Mena","St. Filomena","Pastoran Katolik Mena, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.024","003",24,"Naekake","St. Bernardus","Pastoran Katolik Naekake, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.025","003",25,"Naesleu","St. Yohanes Pembaptis","Pastoran Katolik Naesleu, Pos Kefamenanu 85611","TTU-Timor-NTT","0388-31304","0389-31303","","","-",""
"003.026","003",26,"Nela","St. Antonius Padua","Pastoran Katolik Nela, Atambua 85702","Timor-NTT","","","","","-",""
"003.027","003",27,"Noemuti","Hati Yesus Yang Maha Kudus","Pastoran Katolik Noemuti, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.028","003",28,"Nualain","St. Gerardus","Pastoran Katolik Nualain, Atambua 85702","Timor-NTT","","","","","-",""
"003.029","003",29,"Nurobo","St. Maria Fatima","Pastoran Katolik Nurobo, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.030","003",30,"Oeolo","St. Maria Ratu","Pastoran Katolik Oeolo, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.031","003",31,"Ponu","St. Maria Bunda Allah","Pastoran Katolik Ponu, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.032","003",32,"Sadi","Tritunggal Maha Kudus","Pastoran Katolik Sadi, Atambua 85702","Timor-NTT","","","","","-",""
"003.033","003",33,"Seon","Kristus Raja","Pastoran Katolik Seon, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.034","003",34,"Tukuneno","St. Petrus","Pastoran Katolik Tukuneno, Atambua 85702","Timor-NTT","0389-22003","","","","-",""
"003.035","003",35,"Tunbaba","St. Andreas Rasul","Pastoran Katolik Tunbaba, Pos Kefamenanu 85611","TTYimor-NTT","","","","","-",""
"003.036","003",36,"Webriamata","St. Yohanes Rasul","Pastoran Katolik Webriamata, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.037","003",37,"Wedomu","St. Paulus","Pastoran Katolik Wedomu, Atambua 85702","Timor-NTT","","","","","-",""
"003.038","003",38,"Weluli","St. Theodorus","Pastoran Katolik Weluli, Atambua 85702","Timor-NTT","","","","","-",""
"003.039","003",39,"Weoe","Salib Suci","Pastoran Katolik Weoe, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.040","003",40,"Bakitolas","St. Yohanes Pemandi","Pastoran Katolik Bakitolas, Pos Kefamenanu 85611,","TTU-Timor-NTT","","","","","-",""
"003.041","003",41,"Fafinesu","St. Antonius Padua","Pastoran Katolik Fafinesu, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.042","003",42,"Fatubenao","St. Agustinus","Pastoran Katolik Fatubenao, Atambua 85702","Timor-NTT","0389-22484","","","","Aurelius Lorenzo Tae Lake, Pr",""
"003.043","003",43,"Fatuketi","St. Maria Bunda Penebus","Pastoran Katolik Fatuketi, Atambua 85702,","Timor-NTT","","","","","-",""
"003.044","003",44,"Fatuoni","St. Fransiskus Xaverius","Pastoran Katolik Fatuoni, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.045","003",45,"Haekesak","St. Aloysius Gonzaga","Pastoran Katolik Haekesak, Atambua 85702","Timor-NTT","","","","","-",""
"003.046","003",46,"Kamanasa","Kristus Raja","Pastoran Katolik Kamanasa, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.047","003",47,"Kaputu","St. Yohanes Pemandi","Pastoran Katolik Kaputu, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.048","003",48,"Kleseleon","St. Antonius Padua","Pastoran Katolik Kleseleon, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.049","003",49,"Laktutus","Hati Kudus Yesus","Pastoran Katolik Laktutus, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.050","003",50,"Manumean","Hati Kudus Yesus","Pastoran Katolik Manumean, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.051","003",51,"Maubam","St. Paulus","Pastoran Katolik Maubam, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.052","003",52,"Rafau","St. Yohanes Rasul","Pastoran Katolik Rafau, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.053","003",53,"Sasi","St. Antonius Padua","Pastoran Katolik Sasi, Pos Kefamenanu 85611","TTU-Timor-NTT","","","","","-",""
"003.054","003",54,"Webora","St. Mikhael","Pastoran Katolik Webora, Atambua 85702","Timor-NTT","","","","","-",""
"003.055","003",55,"Wekfau","St. Lukas","Pastoran Katolik Wekfau, Pos Atambua 85702","Timor-NTT","","","","","-",""
"003.056","003",56,"Wemasa","St. Laurensius","Pastoran Katolik Wemasa, Pos Atambua 85702","Timor-NTT","","","","","-",""
"004.001","004",1,"Buah Batu","Hati Tak Bernoda S. P. M.","Jl Suryalaya No.3, Buah Batu","Bandung","022-7303922,  7323297","","","sekrehtbspm@yahoo.co.uk","-",""
"004.002","004",2,"Cicadas","St. Odilia","Jl Cikutra No.7, Cicadas","Bandung","022-7271501","022-7271501","","","-",""
"004.003","004",3,"Kamuning","Salib Suci","Jl Kamuning No.25, Kamuning","Bandung","022-7271310","","","","-",""
"004.004","004",4,"Katedral","St. Petrus","Jl Merdeka No.14,","Bandung","022-4235537, 4235035, 4236386","022-4200262","","","-",""
"004.005","004",5,"Margahayu","St. Martinus","Kompl Kopo Permai I No.H/4 (Pastoran)","Bandung","022-5404263 (Pastrn) 5425038 (Grj)","022-5421545","","","-",""
"004.006","004",6,"Melania","St. Melania","Jl Melania No. 1-3 (blkg. RRI)","Bandung","022-7210226","","","","-",""
"004.007","004",7,"Mohammad Toha","St. Paulus","Jl Moh. Toha No.19,","Bandung","022-5207404,   52308368","022-5202430","","","-",""
"004.008","004",8,"Pandu","St. Perawan Maria Sapta Kedukaan","Jl Pandu No.4, Pandu","Bandung","022-6011138","","","","-",""
"004.009","004",9,"Sukajadi","St. Laurentius","Jl Sukajadi No.223, Sukajadi","Bandung","022-2038462","022-2038183","","","-",""
"004.010","004",10,"Waringin","St. Michael","Jl Waringin No.51","Bandung","022-6018769 (Sekret) 6029628 (Pastrn)","","","stmichel@bdg.centrin.net.id","-",""
"004.011","004",11,"Kuningan","Kristus Raja","Jl Rumah Sakit No.7, Cigugur","Kuningan","0232-873210 (Past.Cigugur) 871767 (Past. Kuningan)","","","","-",""
"004.012","004",12,"Cimahi","St. Ignatius","Jl Baros No.8, Cimahi","Bandung","022-6654052 (Sekr), 6640693 (Pastr)","","","","-",""
"004.013","004",13,"Dukuh Semar","Bunda Maria","Jl Dukuh Semar No.34,","Cirebon","0231-206232","","","","-",""
"004.014","004",14,"Yos Sudarso","St. Yusuf","Jl Yos Sudarso No.20,","Cirebon","0231-202200","0231-203691","","","-",""
"004.015","004",15,"Garut","St. Perawan Maria Yang Terkandung Tak Bernoda","Jl Bank No.50,","Garut","0262-233139","","","par@bdg.centrin.net.id","RD. Agus Nindia Nikolas",""
"004.016","004",16,"Indramayu","St. Mikael","Jl Bima Basuki No.14","Indramayu","0234-272023","","","","-",""
"004.017","004",17,"Karawang","Kristus Raja","Jl Parahyangan No.45, ","Karawang","0267-412641","0267-400876","","","-",""
"004.018","004",18,"Lembang","St. Maria Fatima","Jl Karmel I Np.51, Lembang","Bandung","022-2787331","","","","-",""
"004.019","004",19,"Pamanukan","Maria Bunda Pembantu Abadi","Jl E.Tirtapraja No.31,","Pamanukan","0260-551167","","","","-",""
"004.020","004",20,"Purwakarta","Salib Suci","Jl Sudirman No.45","Purwakarta","0264-202789","","","","-",""
"004.021","004",21,"Subang","Kristus Sang Penabur","Jl Natasukarya No.18","Subang","0260-411338","0260-421805","","","-",""
"004.022","004",22,"Tasikmalaya","Hati Kudus Yesus","Jl Sutisna Senjaya No.50,","Tasikmalaya","0265-331570","0265-331570","","","-",""
"004.023","004",23,"Sumber Sari","St. Gabriel","Jl Sumber Mekar 1-7 No.14, Komp Sumber Sari Indah","Bandung","022-6017177 (Sekr) 6121774 (Pastrn)","","","gandarusa@bdg.centrin.net.id","-",""
"005.001","005",1,"Banjarbaru","Bunda Maria","Jl A.Yani Km 36, Banjarbaru 70714","Kalimantan Selatan","0511-4772315","0511-4773385","","","-",""
"005.002","005",2,"Katedral","Keluarga Kudus","Jl Lambung Mangkurat No.40, Banjarmasin 70111","Kalimantan Selatan","0511-3354725","0511-3363484","","","-",""
"005.003","005",3,"Kelayan","Santa Perawan Maria Yang Terkandung Tanpa Noda","Jl Rantauan Timur I No.37, RT 32, Banjarmasin 70241","Kalimantan Selatan","0511-3260 669,   32637","0511-326 3712","","","-",""
"005.004","005",4,"Veteran","Hati Yesus Yang Maha Kudus ","Jl Veteran No.2, Banjarmasin 70714","Kalimantan Selatan","0511-3255002","","","","-",""
"005.005","005",5,"Batulicin","St. Vincentius a Paulo","Jl Sungai Kecil Km 3,5 Kotak Pos 125, Batulicin-Tanah Bumbu 72171","Kalimantan Selatan","0518-71129","","","","-",""
"005.006","005",6,"Kota Baru","St. Yusup","Jl Singabana No.94, Kota Baru 72113","Kalimantan Selatan","0518-24526","","","","-",""
"005.007","005",7,"Pelaihari","St. Theresia","Jl Parit Mas No.15, Pelaihari 70814, Tanah Laut","Kalimantan Selatan","0512-21159","","","","-",""
"005.008","005",8,"Tanjung","Ave Maria","Wisma Ave Maria Jl Ir PHM Noor No.36 Sulingan-Tanjung, Tabalong 71571 ","Kalimantan Selatan","0526-2021046","","","","-",""
"005.009","005",9,"Sungai Danau","Stella Maris","Jl Propinsi Km 164,5 Simpang Empat Sumpol, Kec. Satui","Kab. Tanah Bambu","05125-61587","","","","-",""
"006.001","006",1,"Katedral","St. Perawan Maria","Jl Kapten Muslihat No.22","Bogor","0251-8321188, 8350813","0251-8370211","","","-",""
"006.002","006",2,"Sukasari","St. Fransiskus dari Asisi","Jl Siliwangi No.50,","Bogor","0251-8324621","","","","-",""
"006.003","006",3,"Cianjur","St. Petrus","Jl Siliwangi No.66,","Cianjur","0263-261239","0263-271060","","","-",""
"006.004","006",4,"Cibadak","St. Fransiskus Assisi","Jl Perintis Kemerdekaan No.27,","Cibadak","0266-531364","","","","-",""
